mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,split4_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score,split0_train_f1_score,split1_train_f1_score,split2_train_f1_score,split3_train_f1_score,split4_train_f1_score,mean_train_f1_score,std_train_f1_score,rank_train_accuracy,rank_train_f1_score,rank_train_recall,rank_train_precision
0.0010268688201904297,8.730118778547349e-05,0.09939560890197754,0.00047439166492420636,manhattan,37,distance,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 37, 'weights': 'distance'})",0.6275,0.625,0.595,0.575,0.59,0.6024999999999999,0.0204939015319192,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6786277188189556,0.6738283966068697,0.6219355666795019,0.5930059523809523,0.6169438669438669,0.6368683002860293,0.03362669444643555,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6275,0.625,0.595,0.575,0.59,0.6024999999999999,0.0204939015319192,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5987909876069498,0.5966766153101557,0.5713265063110264,0.5533837746952501,0.5649405772495755,0.5770236922345914,0.01787376753623691,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1
0.001233673095703125,8.251537169322297e-05,0.0453549861907959,0.00865281480115537,cosine,45,uniform,"OrderedDict({'metric': 'cosine', 'n_neighbors': 45, 'weights': 'uniform'})",0.62,0.6125,0.6025,0.595,0.58,0.602,0.013910427743243577,15,0.600625,0.6275,0.6275,0.626875,0.63875,0.62425,0.012620667573468546,0.6777514442304844,0.6652528368403657,0.6357660849697009,0.6191222570532915,0.6081227192863901,0.6412030684760465,0.02655412455310903,14,0.6451264335178963,0.6621943947525343,0.676655495804432,0.6780861875738828,0.6786303397999662,0.6681385702897422,0.013011241285392067,0.62,0.6125,0.6025,0.595,0.58,0.602,0.013910427743243577,15,0.600625,0.6275,0.6275,0.6268750000000001,0.63875,0.62425,0.012620667573468549,0.5864058120867459,0.5788930320380898,0.5765617613965472,0.5734035549703753,0.5507901280782909,0.5732108577140098,0.012002905740428702,15,0.5674671316902669,0.6064545417027775,0.599650029640004,0.5979728606427973,0.6173952760231615,0.5977879679398014,0.016627751507783443,16,16,16,18
0.001342439651489258,0.0002178190155329027,0.10178065299987793,0.0037679648616583505,manhattan,47,uniform,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 47, 'weights': 'uniform'})",0.5975,0.61,0.59,0.5875,0.5975,0.5965,0.007842193570679059,16,0.59125,0.62375,0.62125,0.63125,0.634375,0.620375,0.015327671055969312,0.6482269773098703,0.662938823877944,0.6155179052753177,0.6158978774131594,0.6365976673321425,0.6358358502416868,0.018433845086656967,18,0.6345981875339952,0.661302148251338,0.6686135447086636,0.6838814752548072,0.677695128880624,0.6652180969258856,0.017137331110081668,0.5975,0.61,0.59,0.5875,0.5975,0.5965,0.007842193570679059,16,0.59125,0.62375,0.62125,0.6312500000000001,0.634375,0.620375,0.015327671055969327,0.559841707048684,0.5755217545100814,0.5660342409568415,0.5605829599398132,0.5664788523806639,0.5656919029672168,0.005615844676906506,17,0.5554581279281392,0.6004983815870899,0.5926433814632572,0.6028300045102355,0.6106448694349982,0.592414952984744,0.019349439619097,18,17,18,19
0.0013032913208007812,6.986007747087525e-05,0.042940711975097655,0.0012210723441509592,cosine,11,distance,"OrderedDict({'metric': 'cosine', 'n_neighbors': 11, 'weights': 'distance'})",0.65,0.6725,0.6525,0.605,0.65,0.646,0.022169799277395368,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6637733377006223,0.6808602657859557,0.6606319947333772,0.6114176570458405,0.6534526854219949,0.654027188137558,0.02312802261666555,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.65,0.6725,0.6525000000000001,0.605,0.6499999999999999,0.646,0.02216979927739537,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6424832094793023,0.668671080170217,0.6480455768317772,0.5992288961038961,0.6480201131363922,0.641289775144317,0.022852640994047414,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1
0.0013742923736572265,0.00016507310424088698,0.06174745559692383,0.010412332234886312,cosine,24,distance,"OrderedDict({'metric': 'cosine', 'n_neighbors': 24, 'weights': 'distance'})",0.655,0.665,0.6175,0.61,0.6375,0.6369999999999999,0.021059439688652697,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6766381766381766,0.6851644035461789,0.6333749538863191,0.6225490196078431,0.650606533585257,0.653666617452755,0.024121457996578985,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.655,0.665,0.6175,0.61,0.6375,0.6369999999999999,0.021059439688652697,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6441005802707931,0.6556243735704557,0.6057691688299975,0.5997536945812808,0.6294379596087376,0.6269371553722529,0.021497989947228863,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1
0.0012124538421630859,7.836055239704654e-05,0.03515157699584961,0.004248437946110409,cosine,48,uniform,"OrderedDict({'metric': 'cosine', 'n_neighbors': 48, 'weights': 'uniform'})",0.5825,0.605,0.5975,0.5825,0.57,0.5875,0.01234908903522848,20,0.586875,0.610625,0.614375,0.609375,0.625,0.6092500000000001,0.012464950862317898,0.6444896886903979,0.6778455284552845,0.6432191252616504,0.615582641588736,0.6036883424677826,0.6369650652927702,0.02581276357611504,16,0.644424962659913,0.6582904629996043,0.6705025866546787,0.6827910098158771,0.6859444583902787,0.6683906961040703,0.01546825636830387,0.5825,0.605,0.5975,0.5825,0.57,0.5875,0.01234908903522848,20,0.586875,0.610625,0.614375,0.609375,0.625,0.6092500000000001,0.012464950862317898,0.5323406072571217,0.5599376114081996,0.5625921171492416,0.550322784767521,0.531985524203423,0.5474357289571014,0.013121888470583685,20,0.5411663900909989,0.5789258469322797,0.579793123028418,0.565774521472667,0.5915303824807381,0.5714380528010203,0.01719316795562632,20,20,20,17
0.001193666458129883,0.000123088158275683,0.09939427375793457,0.0008968684500877697,manhattan,40,uniform,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 40, 'weights': 'uniform'})",0.61,0.585,0.59,0.59,0.585,0.5919999999999999,0.009273618495495711,19,0.600625,0.621875,0.615625,0.63125,0.634375,0.6207499999999999,0.012070107704573325,0.6751871317088709,0.643970189701897,0.6290322580645161,0.6251564455569463,0.6280892103676914,0.6402870470799844,0.018633164226014975,15,0.6554147812971343,0.6661586047789771,0.668796005465341,0.692,0.6886134498935211,0.6741965682869947,0.013937999244479688,0.61,0.585,0.59,0.59,0.585,0.5919999999999999,0.009273618495495711,19,0.600625,0.621875,0.615625,0.63125,0.634375,0.6207499999999999,0.012070107704573325,0.5699991730753329,0.5376559714795008,0.5564570655848546,0.5590330994057702,0.5468937656949449,0.5540078150480806,0.010999712077263184,19,0.5620240963855422,0.5948826310531671,0.5827678013771207,0.599575821845175,0.6060538081675653,0.589060831765714,0.015516487371809507,17,19,17,16
0.0013031482696533204,0.00019206953380113435,0.09904460906982422,0.0002554361245937774,manhattan,47,uniform,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 47, 'weights': 'uniform'})",0.5975,0.61,0.59,0.5875,0.5975,0.5965,0.007842193570679059,16,0.59125,0.62375,0.62125,0.63125,0.634375,0.620375,0.015327671055969312,0.6482269773098703,0.662938823877944,0.6155179052753177,0.6158978774131594,0.6365976673321425,0.6358358502416868,0.018433845086656967,18,0.6345981875339952,0.661302148251338,0.6686135447086636,0.6838814752548072,0.677695128880624,0.6652180969258856,0.017137331110081668,0.5975,0.61,0.59,0.5875,0.5975,0.5965,0.007842193570679059,16,0.59125,0.62375,0.62125,0.6312500000000001,0.634375,0.620375,0.015327671055969327,0.559841707048684,0.5755217545100814,0.5660342409568415,0.5605829599398132,0.5664788523806639,0.5656919029672168,0.005615844676906506,17,0.5554581279281392,0.6004983815870899,0.5926433814632572,0.6028300045102355,0.6106448694349982,0.592414952984744,0.019349439619097,18,17,18,19
0.001220369338989258,0.0001649247040364353,0.029717063903808592,0.0009674227527897758,cosine,36,distance,"OrderedDict({'metric': 'cosine', 'n_neighbors': 36, 'weights': 'distance'})",0.6375,0.63,0.625,0.605,0.6225,0.624,0.010793516572461446,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6733976480973549,0.6594896331738438,0.6517727051966975,0.6196581196581197,0.6527479036129555,0.6514132019477943,0.017656956341323388,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6375,0.63,0.625,0.605,0.6225,0.624,0.010793516572461446,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6177143271442601,0.6120678357054861,0.6076995501621509,0.5925209542230818,0.6028379986717429,0.6065681331813444,0.008567398814606695,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1
0.0014630794525146485,0.0003121621876588849,0.014192628860473632,0.0011561546133519534,euclidean,42,distance,"OrderedDict({'metric': 'euclidean', 'n_neighbors': 42, 'weights': 'distance'})",0.62,0.6225,0.62,0.5925,0.595,0.61,0.013322912594474235,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6720430107526882,0.6644350481559784,0.6540238737004236,0.6117453414273202,0.6219355666795019,0.6448365681431826,0.02378311449444124,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.62,0.6225,0.62,0.5925,0.595,0.61,0.013322912594474235,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5889114266396214,0.5967930360015754,0.5977878330819507,0.5741651481604848,0.5713265063110264,0.5857967900389318,0.011127333046506406,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1
