mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,split4_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score,split0_train_f1_score,split1_train_f1_score,split2_train_f1_score,split3_train_f1_score,split4_train_f1_score,mean_train_f1_score,std_train_f1_score,rank_train_recall,rank_train_accuracy,rank_train_f1_score,rank_train_precision
0.000993824005126953,0.00040500762986337433,0.02946171760559082,0.005376773968033549,5,OrderedDict({'n_neighbors': 5}),0.8833333333333333,0.95,0.7833333333333333,0.8833333333333333,0.8983050847457628,0.8796610169491526,0.05403918623864058,5,0.9330543933054394,0.9163179916317992,0.9288702928870293,0.9205020920502092,0.9166666666666666,0.9230822873082287,0.0067307829913604966,0.8948412698412699,0.9683235867446394,0.8267045454545454,0.9100790513833992,0.9034090909090909,0.9006715088665889,0.04511740953635029,2,0.9380470369966168,0.9133943089430895,0.925960123886953,0.9227740794674433,0.9202301884574488,0.9240811475503102,0.008115706407023951,0.902991452991453,0.9653846153846154,0.8424145299145299,0.885,0.9019444444444444,0.8995470085470085,0.03956750672679248,8,0.945170906200318,0.9290391494435613,0.9319968865924747,0.9375404530744337,0.9365168262923117,0.93605284432062,0.00549927305082155,0.8953153829314819,0.9666182873730044,0.8311382734912147,0.8933531746031746,0.8967029993815708,0.8966256235560893,0.042895215692124206,2,0.9403348881165783,0.9184936747643018,0.9287387782101519,0.9276770303059485,0.9270394751478369,0.9284567693089635,0.0069720757882572705,2,2,2,2
0.0011889934539794922,0.0005109543890686371,0.03018507957458496,0.004833064521772981,15,OrderedDict({'n_neighbors': 15}),0.9166666666666666,0.95,0.7666666666666667,0.8666666666666667,0.8983050847457628,0.8796610169491526,0.06261176925574359,5,0.895397489539749,0.8828451882845189,0.9330543933054394,0.8828451882845189,0.8958333333333334,0.897995118549512,0.018436998195330866,0.9442857142857143,0.9683235867446394,0.7825439958592133,0.8901515151515152,0.9053030303030304,0.8981215684688225,0.06408232543110114,4,0.8934055388719014,0.8849969970426572,0.9376277496749944,0.899247491638796,0.9003054278182672,0.9031166410093233,0.018091527630318877,0.9461538461538461,0.9653846153846154,0.8356837606837607,0.875,0.9044444444444444,0.9053333333333333,0.04699879774583234,1,0.9117150238473767,0.90301404345522,0.9444074589295177,0.9143001618122977,0.9200332917869325,0.918693995966269,0.013977472103461659,0.9450023912003827,0.9666182873730044,0.7944993854124454,0.8765466212274723,0.8966997098646035,0.8958732790155816,0.060115546849422365,7,0.9005370054069997,0.8921829252238958,0.9401817792985458,0.9032996987480846,0.9088087764263333,0.909002037020772,0.01648799333939642,7,7,7,7
0.0013267040252685548,0.00043382341191372384,0.017594337463378906,0.007130039500400799,5,OrderedDict({'n_neighbors': 5}),0.8833333333333333,0.95,0.7833333333333333,0.8833333333333333,0.8983050847457628,0.8796610169491526,0.05403918623864058,5,0.9330543933054394,0.9163179916317992,0.9288702928870293,0.9205020920502092,0.9166666666666666,0.9230822873082287,0.0067307829913604966,0.8948412698412699,0.9683235867446394,0.8267045454545454,0.9100790513833992,0.9034090909090909,0.9006715088665889,0.04511740953635029,2,0.9380470369966168,0.9133943089430895,0.925960123886953,0.9227740794674433,0.9202301884574488,0.9240811475503102,0.008115706407023951,0.902991452991453,0.9653846153846154,0.8424145299145299,0.885,0.9019444444444444,0.8995470085470085,0.03956750672679248,8,0.945170906200318,0.9290391494435613,0.9319968865924747,0.9375404530744337,0.9365168262923117,0.93605284432062,0.00549927305082155,0.8953153829314819,0.9666182873730044,0.8311382734912147,0.8933531746031746,0.8967029993815708,0.8966256235560893,0.042895215692124206,2,0.9403348881165783,0.9184936747643018,0.9287387782101519,0.9276770303059485,0.9270394751478369,0.9284567693089635,0.0069720757882572705,2,2,2,2
0.0013057231903076173,0.0002580162999016366,0.010091257095336915,0.002599359353674837,15,OrderedDict({'n_neighbors': 15}),0.9166666666666666,0.95,0.7666666666666667,0.8666666666666667,0.8983050847457628,0.8796610169491526,0.06261176925574359,5,0.895397489539749,0.8828451882845189,0.9330543933054394,0.8828451882845189,0.8958333333333334,0.897995118549512,0.018436998195330866,0.9442857142857143,0.9683235867446394,0.7825439958592133,0.8901515151515152,0.9053030303030304,0.8981215684688225,0.06408232543110114,4,0.8934055388719014,0.8849969970426572,0.9376277496749944,0.899247491638796,0.9003054278182672,0.9031166410093233,0.018091527630318877,0.9461538461538461,0.9653846153846154,0.8356837606837607,0.875,0.9044444444444444,0.9053333333333333,0.04699879774583234,1,0.9117150238473767,0.90301404345522,0.9444074589295177,0.9143001618122977,0.9200332917869325,0.918693995966269,0.013977472103461659,0.9450023912003827,0.9666182873730044,0.7944993854124454,0.8765466212274723,0.8966997098646035,0.8958732790155816,0.060115546849422365,7,0.9005370054069997,0.8921829252238958,0.9401817792985458,0.9032996987480846,0.9088087764263333,0.909002037020772,0.01648799333939642,7,7,7,7
0.001012277603149414,0.0001981512517044084,0.008747053146362305,0.0024045770652004216,15,OrderedDict({'n_neighbors': 15}),0.9166666666666666,0.95,0.7666666666666667,0.8666666666666667,0.8983050847457628,0.8796610169491526,0.06261176925574359,5,0.895397489539749,0.8828451882845189,0.9330543933054394,0.8828451882845189,0.8958333333333334,0.897995118549512,0.018436998195330866,0.9442857142857143,0.9683235867446394,0.7825439958592133,0.8901515151515152,0.9053030303030304,0.8981215684688225,0.06408232543110114,4,0.8934055388719014,0.8849969970426572,0.9376277496749944,0.899247491638796,0.9003054278182672,0.9031166410093233,0.018091527630318877,0.9461538461538461,0.9653846153846154,0.8356837606837607,0.875,0.9044444444444444,0.9053333333333333,0.04699879774583234,1,0.9117150238473767,0.90301404345522,0.9444074589295177,0.9143001618122977,0.9200332917869325,0.918693995966269,0.013977472103461659,0.9450023912003827,0.9666182873730044,0.7944993854124454,0.8765466212274723,0.8966997098646035,0.8958732790155816,0.060115546849422365,7,0.9005370054069997,0.8921829252238958,0.9401817792985458,0.9032996987480846,0.9088087764263333,0.909002037020772,0.01648799333939642,7,7,7,7
0.0011837005615234375,0.0002416739144258521,0.008773612976074218,0.0022790192977836543,10,OrderedDict({'n_neighbors': 10}),0.9,0.9333333333333333,0.7833333333333333,0.85,0.9322033898305084,0.8797740112994351,0.05694528504489377,2,0.895397489539749,0.895397489539749,0.9330543933054394,0.899581589958159,0.9,0.9046861924686194,0.014320140987870968,0.9365079365079365,0.9557692307692308,0.7871572871572872,0.878859649122807,0.9251893939393939,0.8966966994993311,0.06033800693032279,8,0.9036281179138321,0.8933089951062095,0.937737166991553,0.9041256888232657,0.9031498589048095,0.9083899655479339,0.015211915517401383,0.9307692307692308,0.9557692307692308,0.8452991452991453,0.8600000000000001,0.9244444444444444,0.9032564102564102,0.04288040576564818,5,0.9103669846316905,0.9060612082670907,0.9423854001059884,0.9233110841423947,0.9203670296510102,0.9204983413596348,0.01263366381042187,0.9327485380116959,0.9557692307692308,0.808531746031746,0.8646231546231546,0.9188118429189858,0.8960969024709626,0.053062889287554156,4,0.906596224523889,0.8980640914757695,0.9399869319230059,0.9119845464612906,0.9112229351199939,0.9135709459007899,0.014106334802339415,4,4,4,4
0.0011241436004638672,0.0002707233884570245,0.008581256866455078,0.0027294437447345854,10,OrderedDict({'n_neighbors': 10}),0.9,0.9333333333333333,0.7833333333333333,0.85,0.9322033898305084,0.8797740112994351,0.05694528504489377,2,0.895397489539749,0.895397489539749,0.9330543933054394,0.899581589958159,0.9,0.9046861924686194,0.014320140987870968,0.9365079365079365,0.9557692307692308,0.7871572871572872,0.878859649122807,0.9251893939393939,0.8966966994993311,0.06033800693032279,8,0.9036281179138321,0.8933089951062095,0.937737166991553,0.9041256888232657,0.9031498589048095,0.9083899655479339,0.015211915517401383,0.9307692307692308,0.9557692307692308,0.8452991452991453,0.8600000000000001,0.9244444444444444,0.9032564102564102,0.04288040576564818,5,0.9103669846316905,0.9060612082670907,0.9423854001059884,0.9233110841423947,0.9203670296510102,0.9204983413596348,0.01263366381042187,0.9327485380116959,0.9557692307692308,0.808531746031746,0.8646231546231546,0.9188118429189858,0.8960969024709626,0.053062889287554156,4,0.906596224523889,0.8980640914757695,0.9399869319230059,0.9119845464612906,0.9112229351199939,0.9135709459007899,0.014106334802339415,4,4,4,4
0.0010169029235839843,0.00027600912320564406,0.009855031967163086,0.0031053807025406585,10,OrderedDict({'n_neighbors': 10}),0.9,0.9333333333333333,0.7833333333333333,0.85,0.9322033898305084,0.8797740112994351,0.05694528504489377,2,0.895397489539749,0.895397489539749,0.9330543933054394,0.899581589958159,0.9,0.9046861924686194,0.014320140987870968,0.9365079365079365,0.9557692307692308,0.7871572871572872,0.878859649122807,0.9251893939393939,0.8966966994993311,0.06033800693032279,8,0.9036281179138321,0.8933089951062095,0.937737166991553,0.9041256888232657,0.9031498589048095,0.9083899655479339,0.015211915517401383,0.9307692307692308,0.9557692307692308,0.8452991452991453,0.8600000000000001,0.9244444444444444,0.9032564102564102,0.04288040576564818,5,0.9103669846316905,0.9060612082670907,0.9423854001059884,0.9233110841423947,0.9203670296510102,0.9204983413596348,0.01263366381042187,0.9327485380116959,0.9557692307692308,0.808531746031746,0.8646231546231546,0.9188118429189858,0.8960969024709626,0.053062889287554156,4,0.906596224523889,0.8980640914757695,0.9399869319230059,0.9119845464612906,0.9112229351199939,0.9135709459007899,0.014106334802339415,4,4,4,4
0.001044464111328125,0.000351388202976848,0.009328126907348633,0.002713610311882417,15,OrderedDict({'n_neighbors': 15}),0.9166666666666666,0.95,0.7666666666666667,0.8666666666666667,0.8983050847457628,0.8796610169491526,0.06261176925574359,5,0.895397489539749,0.8828451882845189,0.9330543933054394,0.8828451882845189,0.8958333333333334,0.897995118549512,0.018436998195330866,0.9442857142857143,0.9683235867446394,0.7825439958592133,0.8901515151515152,0.9053030303030304,0.8981215684688225,0.06408232543110114,4,0.8934055388719014,0.8849969970426572,0.9376277496749944,0.899247491638796,0.9003054278182672,0.9031166410093233,0.018091527630318877,0.9461538461538461,0.9653846153846154,0.8356837606837607,0.875,0.9044444444444444,0.9053333333333333,0.04699879774583234,1,0.9117150238473767,0.90301404345522,0.9444074589295177,0.9143001618122977,0.9200332917869325,0.918693995966269,0.013977472103461659,0.9450023912003827,0.9666182873730044,0.7944993854124454,0.8765466212274723,0.8966997098646035,0.8958732790155816,0.060115546849422365,7,0.9005370054069997,0.8921829252238958,0.9401817792985458,0.9032996987480846,0.9088087764263333,0.909002037020772,0.01648799333939642,7,7,7,7
0.0009762287139892578,5.504126174086265e-05,0.02015409469604492,0.00515256762880095,3,OrderedDict({'n_neighbors': 3}),0.8666666666666667,0.9166666666666666,0.85,0.9166666666666666,0.9152542372881356,0.8930508474576271,0.02883714554744825,1,0.9414225941422594,0.9330543933054394,0.9456066945606695,0.9414225941422594,0.9208333333333333,0.9364679218967922,0.008817111283347393,0.8858181203515889,0.9221567905778433,0.8698717948717949,0.9322727272727274,0.9145238095238095,0.9049286485195529,0.02336993757320253,1,0.9581699831699833,0.9471861471861471,0.949886635004964,0.9574786324786325,0.9345347524592809,0.9494512300598015,0.008582276239876998,0.890491452991453,0.9057692307692309,0.8837606837606837,0.905,0.9119444444444444,0.8993931623931622,0.010518938876939698,10,0.9466133412824589,0.9504123608903021,0.9467806041335453,0.9472424487594391,0.9288711952243506,0.9439839900580193,0.007682090997894502,0.883451365804307,0.9087606837606838,0.8741053064582476,0.9153174603174603,0.907730044345898,0.8978729721373195,0.016080416448850207,1,0.9521451619690475,0.9484764891426868,0.9482471306022714,0.9521948160535118,0.9315746434713926,0.946527648247782,0.007668379275840278,1,1,1,1
