mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,split4_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score,split0_train_f1_score,split1_train_f1_score,split2_train_f1_score,split3_train_f1_score,split4_train_f1_score,mean_train_f1_score,std_train_f1_score,rank_train_f1_score,rank_train_precision,rank_train_recall,rank_train_accuracy
0.004989910125732422,0.0003508726903383303,0.6330018520355225,0.01401510410697412,manhattan,37,distance,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 37, 'weights': 'distance'})",0.9682875264270613,0.9704016913319239,0.9795630725863284,0.9718111346018323,0.9718111346018323,0.9723749119097956,0.003818524928581822,12,1.0,0.9998238195912614,0.9998238195912614,1.0,0.9998238195912614,0.9998942917547569,8.631042081689441e-05,0.9691843801873542,0.9711385436130824,0.9808885227323081,0.9737529154981985,0.9725225544026896,0.9734973832867265,0.003995263463388541,14,1.0,0.9999024960998439,0.9999024960998439,1.0,0.9999025341130604,0.9999415052625495,4.776075514747431e-05,0.9752369096720817,0.9758388718122396,0.9825099345113883,0.9755374539047986,0.9746431577457765,0.976753265529257,0.0029053551070124715,12,1.0,0.9997859589041096,0.9997859589041096,1.0,0.9997859589041096,0.9998715753424658,0.00010485829378352347,0.9719317522901939,0.9733138707385017,0.981689363483822,0.9746222093881545,0.9735216946063123,0.9750157781013968,0.003444753330933523,13,1.0,0.9998441721599008,0.9998441721599008,1.0,0.9998441911739226,0.9999065070987448,7.633663453156467e-05,9,9,9,9
0.0038993358612060547,0.0003704668455043556,0.14416007995605468,0.004483852414811048,cosine,45,uniform,"OrderedDict({'metric': 'cosine', 'n_neighbors': 45, 'weights': 'uniform'})",0.9675828047921071,0.9689922480620154,0.97815362931642,0.9696969696969697,0.9725158562367865,0.9713883016208598,0.0037449838634493185,17,0.9741014799154334,0.9721634954193094,0.9681113460183227,0.971106412966878,0.9721634954193094,0.9715292459478505,0.001963759660760092,0.9682858647536584,0.9696366287364722,0.9801684980419665,0.9720798506512792,0.9741192888008438,0.9728580261968439,0.00416944603021876,19,0.9753099690335677,0.9738732579363857,0.9696605344438947,0.9726130060950706,0.9734316553513844,0.9729776845720608,0.0018753222279452107,0.9748468940714575,0.9758824172433771,0.9807577127801564,0.9734351095370514,0.9742166782771774,0.975827762381844,0.0025919058761472917,16,0.9780587478045494,0.9759867857096062,0.9732473957779766,0.9753622327546025,0.9770482454578424,0.9759406815009154,0.0016311602815682758,0.9712864657967335,0.9725329808920011,0.9804480176863446,0.9727419978932998,0.9741199031954071,0.9742258730927572,0.003238339013306542,17,0.976641517123819,0.9748808997782821,0.9713376291582284,0.973896308765115,0.9751562944670316,0.9743825298584952,0.0017582911554915909,17,17,17,17
0.003903102874755859,0.0003481972676273673,0.7351303577423096,0.060531502957761885,manhattan,47,uniform,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 47, 'weights': 'uniform'})",0.9682875264270613,0.9675828047921071,0.9795630725863284,0.9704016913319239,0.971106412966878,0.9713883016208598,0.0042889708399444365,17,0.9719873150105708,0.9721634954193094,0.9695207892882312,0.9712825933756166,0.9719873150105708,0.9713883016208598,0.000981563655897386,0.9694668973343693,0.9684312319502235,0.981372378078557,0.9724828637321083,0.9729437664221728,0.9729394275034862,0.004554237974173554,17,0.9734246282115103,0.974066496918316,0.9711358410302513,0.9727969811417728,0.9731750186674268,0.9729197931938556,0.0009831069108969573,0.9747707608891439,0.9738126606268058,0.9820437857284507,0.9739397088355756,0.9729331961343203,0.9755000224428594,0.003323342477119685,18,0.975770166035846,0.9757633599037124,0.974153603141513,0.9755577697064016,0.9768716917151363,0.9756233181005218,0.0008676371772949292,0.9718944088536033,0.9708993501169986,0.9817004804549948,0.9731815631219702,0.9728732091229108,0.9741098023340955,0.003878766733167755,18,0.974558376048371,0.9748770224725034,0.9725546791064106,0.974101006807123,0.9749278507466863,0.9742037870362189,0.0008755990311408233,18,19,18,18
0.0037213802337646485,0.0003679862242586809,0.12062058448791504,0.020543143675473538,cosine,11,distance,"OrderedDict({'metric': 'cosine', 'n_neighbors': 11, 'weights': 'distance'})",0.9739252995066948,0.9739252995066948,0.9844961240310077,0.9732205778717407,0.9746300211416491,0.9760394644115575,0.004251755638900165,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9748818667561572,0.973303946053946,0.9851041084843948,0.9750257912922787,0.975633128312992,0.9767897681799538,0.004227735296284284,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9788598760193069,0.9803684006460063,0.9871046388475071,0.9767437409248757,0.9774883015979372,0.9801129916071266,0.0037083557378354394,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9767564062937562,0.9766205417777275,0.9860798101419475,0.9758550397802155,0.9765250910596276,0.9783673778106549,0.003868698506504798,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1
0.003976631164550781,0.00031303044383775285,0.11025290489196778,0.008968134978415166,cosine,24,distance,"OrderedDict({'metric': 'cosine', 'n_neighbors': 24, 'weights': 'distance'})",0.9704016913319239,0.9725158562367865,0.9844961240310077,0.971106412966878,0.9739252995066948,0.9744890768146581,0.005147845628682072,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.972048831164302,0.9732529423423963,0.9855086105087856,0.9733581404088316,0.9753491418864089,0.975903533262145,0.004917890685570217,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9754746589080784,0.978298644029435,0.9866384900645695,0.9746413965571283,0.9762805721293382,0.97826675233771,0.004358231561609378,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9736469116935623,0.9755994558235201,0.9860619497810652,0.9739789264267433,0.975767358982907,0.9770109205415596,0.004603680096107864,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1
0.00404825210571289,0.00029442717991640983,0.14421381950378417,0.022102496280362986,cosine,48,uniform,"OrderedDict({'metric': 'cosine', 'n_neighbors': 48, 'weights': 'uniform'})",0.9682875264270613,0.9689922480620154,0.97815362931642,0.9704016913319239,0.9725158562367865,0.9716701902748415,0.003548887473436008,15,0.9726920366455251,0.9725158562367865,0.968816067653277,0.970754052149401,0.9719873150105708,0.9713530655391122,0.0014382192834361128,0.9694668973343693,0.9696366287364722,0.9801684980419665,0.9725180828954414,0.9749038433879926,0.9733387900792485,0.003961449609235807,15,0.9740803808073196,0.9744750048328626,0.9704605215028361,0.9722951526043805,0.9734041978238341,0.9729430515142466,0.0014446994888284753,0.9747707608891439,0.9758824172433771,0.9807577127801564,0.974291273920613,0.9737511388936159,0.9758906607453813,0.002532904701008661,15,0.9768124156488457,0.9759488712899673,0.9736375635501187,0.9748549008868528,0.9767176671662174,0.9755942837084003,0.0012039110353557942,0.9718944088536033,0.9725329808920011,0.9804480176863446,0.9733817702753675,0.9742844017734635,0.9745083158961559,0.003076808682130701,15,0.9754036942991289,0.9751758985124552,0.9719463062441664,0.9734883603725131,0.9749890180563243,0.9742006554969176,0.0013122020973680335,20,18,20,20
0.0038343429565429687,0.00032993033187703533,0.8067699432373047,0.13564441931232232,manhattan,40,uniform,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 40, 'weights': 'uniform'})",0.966878083157153,0.9689922480620154,0.9795630725863284,0.9704016913319239,0.9725158562367865,0.9716701902748415,0.0043533319835040015,15,0.9732205778717407,0.9728682170542635,0.9696969696969697,0.9723396758280479,0.9730443974630021,0.9722339675828048,0.0013023057514148027,0.9679805216664539,0.9699261221935508,0.9812918579221683,0.9729361330654435,0.9745325254916446,0.9733334320678522,0.004586842573270961,16,0.9750218962019999,0.9748710660480657,0.9713760236370195,0.9738971598472095,0.9744686260318712,0.9739269543532332,0.001333550747699579,0.9739907296878959,0.9745926918280539,0.9820437857284507,0.973473560052638,0.9745315506029193,0.9757264635799915,0.0031846557422557428,17,0.9765598862901332,0.9763769534817481,0.9742417724181511,0.9762501478510722,0.9773306054205217,0.9761518730923253,0.0010261275131786493,0.9707076201861013,0.9720851351652914,0.9816647244562868,0.9731859616192546,0.9744873108367237,0.9744261504527316,0.003827442552412006,16,0.9757541806401243,0.9755862580518129,0.972714507328512,0.9750073500302794,0.9758280654346655,0.9749780722970789,0.0011678446779375417,14,14,15,14
0.004029560089111328,0.0006708362067139662,0.7879234313964844,0.08724602941342473,manhattan,47,uniform,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 47, 'weights': 'uniform'})",0.9682875264270613,0.9675828047921071,0.9795630725863284,0.9704016913319239,0.971106412966878,0.9713883016208598,0.0042889708399444365,17,0.9719873150105708,0.9721634954193094,0.9695207892882312,0.9712825933756166,0.9719873150105708,0.9713883016208598,0.000981563655897386,0.9694668973343693,0.9684312319502235,0.981372378078557,0.9724828637321083,0.9729437664221728,0.9729394275034862,0.004554237974173554,17,0.9734246282115103,0.974066496918316,0.9711358410302513,0.9727969811417728,0.9731750186674268,0.9729197931938556,0.0009831069108969573,0.9747707608891439,0.9738126606268058,0.9820437857284507,0.9739397088355756,0.9729331961343203,0.9755000224428594,0.003323342477119685,18,0.975770166035846,0.9757633599037124,0.974153603141513,0.9755577697064016,0.9768716917151363,0.9756233181005218,0.0008676371772949292,0.9718944088536033,0.9708993501169986,0.9817004804549948,0.9731815631219702,0.9728732091229108,0.9741098023340955,0.003878766733167755,18,0.974558376048371,0.9748770224725034,0.9725546791064106,0.974101006807123,0.9749278507466863,0.9742037870362189,0.0008755990311408233,18,19,18,18
0.003928613662719726,0.00031997611679499406,0.13603248596191406,0.0012890502208061435,cosine,36,distance,"OrderedDict({'metric': 'cosine', 'n_neighbors': 36, 'weights': 'distance'})",0.9696969696969697,0.9704016913319239,0.9795630725863284,0.9718111346018323,0.9739252995066948,0.9730796335447497,0.003548887473435962,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9709722683864997,0.9711355748217534,0.9804980228554105,0.9737529154981985,0.9757678424813443,0.9744253248086412,0.003517902874732246,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9755507920903921,0.9766624484446251,0.9829760832943261,0.9755374539047986,0.9762805721293382,0.9774014699726961,0.002820583025025866,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9730851066917888,0.9737215650882809,0.9817137473593842,0.9746222093881545,0.9759652618572638,0.9758215780769746,0.0031008101950178953,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1
0.004134082794189453,0.00037654138741784643,0.09391250610351562,0.016317533778130413,euclidean,42,distance,"OrderedDict({'metric': 'euclidean', 'n_neighbors': 42, 'weights': 'distance'})",0.9682875264270613,0.9704016913319239,0.9795630725863284,0.9718111346018323,0.9739252995066948,0.972797744890768,0.003849612483086007,11,1.0,0.9998238195912614,0.9998238195912614,1.0,0.9998238195912614,0.9998942917547569,8.631042081689441e-05,0.9691843801873542,0.9711355748217534,0.9810137241499686,0.9737529154981985,0.9753491418864089,0.9740871473087367,0.004060313129480664,11,1.0,0.9999024960998439,0.9999024960998439,1.0,0.9999025341130604,0.9999415052625495,4.776075514747431e-05,0.9752369096720817,0.9766624484446251,0.9824700415472798,0.9755374539047986,0.9762805721293382,0.9772374851396247,0.0026652731443461246,11,1.0,0.9997859589041096,0.9997859589041096,1.0,0.9997859589041096,0.9998715753424658,0.00010485829378352347,0.9719317522901939,0.9737215650882809,0.9817145381022909,0.9746222093881545,0.975767358982907,0.9755514847703655,0.0033269941405019267,11,1.0,0.9998441721599008,0.9998441721599008,1.0,0.9998441911739226,0.9999065070987448,7.633663453156467e-05,9,9,9,9
